controller,time,psi,dpsi,u,action
Uncontrolled,14.799999999999963,-0.10819568242772201,0.03633236237263033,0.0,0.0
Uncontrolled,14.899999999999963,-0.10366163866226658,0.04534043765455434,0.0,0.0
Uncontrolled,14.999999999999963,-0.09772512490513605,0.05936513757130534,0.0,0.0
Uncontrolled,15.099999999999962,-0.08980812123321527,0.07917003671920772,0.0,0.0
Uncontrolled,15.199999999999962,-0.08087507425146882,0.08933046981746454,0.0,0.0
Uncontrolled,15.299999999999962,-0.07207135971923621,0.08803714532232607,0.0,0.0
Uncontrolled,15.399999999999961,-0.06335199070255201,0.08719369016684198,0.0,0.0
Uncontrolled,15.499999999999961,-0.05707478595638243,0.06277204746169587,0.0,0.0
Uncontrolled,15.59999999999996,-0.05101213763682064,0.060626483195617906,0.0,0.0
Uncontrolled,15.69999999999996,-0.04483338624528085,0.06178751391539792,0.0,0.0
Uncontrolled,15.79999999999996,-0.03858558349593537,0.062478027493454776,0.0,0.0
Uncontrolled,15.89999999999996,-0.031461901865007705,0.0712368163092766,0.0,0.0
Uncontrolled,15.99999999999996,-0.025113992682091996,0.06347909182915709,0.0,0.0
Uncontrolled,16.09999999999996,-0.018731576534478288,0.06382416147613706,0.0,0.0
Uncontrolled,16.19999999999996,-0.012501977822410415,0.062295987120678714,0.0,0.0
Uncontrolled,16.29999999999996,-0.005340181498151513,0.07161796324258901,0.0,0.0
Uncontrolled,16.399999999999963,0.0007313188490337972,0.0607150034718531,0.0,0.0
Uncontrolled,16.499999999999964,0.006885276705797379,0.06153957856763581,0.0,0.0
Uncontrolled,16.599999999999966,0.011281455505360432,0.043961787995630525,0.0,0.0
Uncontrolled,16.699999999999967,0.01628100766108886,0.04999552155728429,0.0,0.0
Uncontrolled,16.79999999999997,0.02184913717395371,0.055681295128648486,0.0,0.0
Uncontrolled,16.89999999999997,0.025651724750566308,0.03802587576612598,0.0,0.0
Uncontrolled,16.99999999999997,0.027658965411295443,0.020072406607291333,0.0,0.0
Uncontrolled,17.099999999999973,0.03129269159219279,0.03633726180897347,0.0,0.0
Uncontrolled,17.199999999999974,0.035622309473225165,0.0432961788103237,0.0,0.0
Uncontrolled,17.299999999999976,0.040382683749380976,0.04760374276155815,0.0,0.0
Uncontrolled,17.399999999999977,0.04596102120227023,0.05578337452889255,0.0,0.0
Uncontrolled,17.49999999999998,0.05214175701333243,0.06180735811062196,0.0,0.0
Uncontrolled,17.59999999999998,0.058130831170644034,0.05989074157311602,0.0,0.0
Uncontrolled,17.69999999999998,0.06426122928868287,0.06130398118038843,0.0,0.0
Uncontrolled,17.799999999999983,0.07070162484382117,0.06440395555138295,0.0,0.0
Uncontrolled,17.899999999999984,0.07649232626075003,0.05790701416928863,0.0,0.0
Uncontrolled,17.999999999999986,0.08363337034959249,0.0714104408884246,0.0,0.0
Uncontrolled,18.099999999999987,0.0904252178002223,0.06791847450629807,0.0,0.0
Uncontrolled,18.19999999999999,0.09739507429316041,0.06969856492938112,0.0,0.0
Uncontrolled,18.29999999999999,0.10409761831144447,0.06702544018284058,0.0,0.0
Uncontrolled,18.39999999999999,0.11090894899063071,0.06811330679186237,0.0,0.0
Uncontrolled,18.499999999999993,0.11784986468813546,0.06940915697504756,0.0,0.0
Uncontrolled,18.599999999999994,0.12341792978266451,0.055680650945290455,0.0,0.0
Uncontrolled,18.699999999999996,0.12626410814705222,0.028461783643877026,0.0,0.0
Uncontrolled,18.799999999999997,0.1279621857967815,0.016980776497292994,0.0,0.0
Uncontrolled,18.9,0.12834229064060326,0.0038010484382175885,0.0,0.0
Uncontrolled,19.0,0.12794028971147237,-0.004020009291308984,0.0,0.0
Uncontrolled,19.1,0.126627098854607,-0.013131908568653773,0.0,0.0
Uncontrolled,19.200000000000003,0.12444429278281172,-0.021828060717952784,0.0,0.0
Uncontrolled,19.300000000000004,0.12129417282684002,-0.03150119955971701,0.0,0.0
Uncontrolled,19.400000000000006,0.1181644769260624,-0.031296959007776216,0.0,0.0
Uncontrolled,19.500000000000007,0.11533815580140358,-0.02826321124658815,0.0,0.0
Uncontrolled,19.60000000000001,0.11188021967666521,-0.03457936124738368,0.0,0.0
Uncontrolled,19.70000000000001,0.1077452383017903,-0.04134981374874925,0.0,0.0
Uncontrolled,19.80000000000001,0.10391380407516272,-0.03831434226627575,0.0,0.0
Uncontrolled,19.900000000000013,0.0986016061546311,-0.053121979205316264,0.0,0.0
Uncontrolled,20.000000000000014,0.09247801298620979,-0.06123593168421301,0.0,0.0
Uncontrolled,20.100000000000016,0.08615539639733931,-0.06322616588870489,0.0,0.0
Uncontrolled,20.200000000000017,0.07956434973400228,-0.06591046663337025,0.0,0.0
Uncontrolled,20.30000000000002,0.07290745808820447,-0.06656891645797816,0.0,0.0
Uncontrolled,20.40000000000002,0.06546053469224167,-0.07446923395962798,0.0,0.0
Uncontrolled,20.50000000000002,0.05728994495779439,-0.08170589734447281,0.0,0.0
Uncontrolled,20.600000000000023,0.0487501415109733,-0.08539803446821084,0.0,0.0
Uncontrolled,20.700000000000024,0.03993606685215925,-0.08814074658814049,0.0,0.0
Uncontrolled,20.800000000000026,0.031510538881217576,-0.08425527970941679,0.0,0.0
Uncontrolled,20.900000000000027,0.02462461494505739,-0.06885923936160188,0.0,0.0
Uncontrolled,21.00000000000003,0.01567773826121234,-0.08946876683845051,0.0,0.0
Uncontrolled,21.10000000000003,0.004931015265188951,-0.10746722996023388,0.0,0.0
Uncontrolled,21.20000000000003,-0.00604432147921196,-0.1097533674440091,0.0,0.0
Uncontrolled,21.300000000000033,-0.017277610137572202,-0.11233288658360242,0.0,0.0
Uncontrolled,21.400000000000034,-0.02774422419453634,-0.10466614056964137,0.0,0.0
Uncontrolled,21.500000000000036,-0.03725514385090409,-0.09510919656367751,0.0,0.0
Uncontrolled,21.600000000000037,-0.047204352310271036,-0.09949208459366946,0.0,0.0
Uncontrolled,21.70000000000004,-0.05688814629965473,-0.09683793989383692,0.0,0.0
Uncontrolled,21.80000000000004,-0.06541846510120736,-0.08530318801552632,0.0,0.0
Uncontrolled,21.90000000000004,-0.07356472130420519,-0.08146256202997826,0.0,0.0
Uncontrolled,22.000000000000043,-0.08077036322410448,-0.07205641919899289,0.0,0.0
Uncontrolled,22.100000000000044,-0.08852163439203074,-0.07751271167926266,0.0,0.0
Uncontrolled,22.200000000000045,-0.09464109536820428,-0.06119460976173541,0.0,0.0
Uncontrolled,22.300000000000047,-0.09988431072009615,-0.052432153518918785,0.0,0.0
Uncontrolled,22.40000000000005,-0.10220127439686026,-0.023169636767641028,0.0,0.0
Uncontrolled,22.50000000000005,-0.10568579012706059,-0.03484515730200324,0.0,0.0
Uncontrolled,22.60000000000005,-0.10912425190785571,-0.03438461780795128,0.0,0.0
