controller,time,psi,u
Uncontrolled,5.4999999999999964,-0.4461359320984075,0.0
Uncontrolled,5.599999999999996,-0.4284749847042582,0.0
Uncontrolled,5.699999999999996,-0.4087113912978201,0.0
Uncontrolled,5.799999999999995,-0.38709656621702765,0.0
Uncontrolled,5.899999999999995,-0.3643644207617303,0.0
Uncontrolled,5.999999999999995,-0.34109872967380683,0.0
Uncontrolled,6.099999999999994,-0.31657986889549833,0.0
Uncontrolled,6.199999999999994,-0.29178658856898093,0.0
Uncontrolled,6.299999999999994,-0.26561583437820896,0.0
Uncontrolled,6.399999999999993,-0.23905525741456743,0.0
Uncontrolled,6.499999999999993,-0.2125586309744994,0.0
Uncontrolled,6.5999999999999925,-0.18607794313275774,0.0
Uncontrolled,6.699999999999992,-0.15986673061713708,0.0
Uncontrolled,6.799999999999992,-0.13392287948014148,0.0
Uncontrolled,6.8999999999999915,-0.10845592153175707,0.0
Uncontrolled,6.999999999999991,-0.08340019697584894,0.0
Uncontrolled,7.099999999999991,-0.05855965832212055,0.0
Uncontrolled,7.19999999999999,-0.03387309299999499,0.0
Uncontrolled,7.29999999999999,-0.010312880809797028,0.0
Uncontrolled,7.39999999999999,0.012116320448960993,0.0
Uncontrolled,7.499999999999989,0.03359748781306074,0.0
Uncontrolled,7.599999999999989,0.054298105513567965,0.0
Uncontrolled,7.699999999999989,0.07415507884135664,0.0
Uncontrolled,7.799999999999988,0.09202357681067015,0.0
Uncontrolled,7.899999999999988,0.10974791563219778,0.0
Uncontrolled,7.999999999999988,0.12594668770174244,0.0
Uncontrolled,8.099999999999987,0.14193825760150733,0.0
Uncontrolled,8.199999999999987,0.15606426160756837,0.0
Uncontrolled,8.299999999999986,0.16850407835985295,0.0
Uncontrolled,8.399999999999986,0.17960246274037725,0.0
Uncontrolled,8.499999999999986,0.1893585457191315,0.0
Uncontrolled,8.599999999999985,0.19748936431866182,0.0
Uncontrolled,8.699999999999985,0.2047562591342329,0.0
Uncontrolled,8.799999999999985,0.2098803487528039,0.0
Uncontrolled,8.899999999999984,0.21432884280395625,0.0
Uncontrolled,8.999999999999984,0.21716325132100492,0.0
Uncontrolled,9.099999999999984,0.21945261115319986,0.0
Uncontrolled,9.199999999999983,0.2203716698265733,0.0
Uncontrolled,9.299999999999983,0.21946177011470128,0.0
Uncontrolled,9.399999999999983,0.21770641589280748,0.0
Uncontrolled,9.499999999999982,0.2160302757218637,0.0
Uncontrolled,9.599999999999982,0.21329804488631382,0.0
Uncontrolled,9.699999999999982,0.20963703321903926,0.0
Uncontrolled,9.799999999999981,0.20483797969209977,0.0
Uncontrolled,9.89999999999998,0.1987204437549688,0.0
Uncontrolled,9.99999999999998,0.19141716845041035,0.0
Uncontrolled,10.09999999999998,0.18271554745906912,0.0
Uncontrolled,10.19999999999998,0.172656881524512,0.0
Uncontrolled,10.29999999999998,0.16207216016886586,0.0
Uncontrolled,10.399999999999979,0.15180466536739712,0.0
Uncontrolled,10.499999999999979,0.1413477198989817,0.0
Uncontrolled,10.599999999999978,0.13073463810134134,0.0
Uncontrolled,10.699999999999978,0.11991057666495025,0.0
Uncontrolled,10.799999999999978,0.10837961444831495,0.0
Uncontrolled,10.899999999999977,0.09674533961624987,0.0
Uncontrolled,10.999999999999977,0.084765575820613,0.0
Uncontrolled,11.099999999999977,0.07319015485134132,0.0
Uncontrolled,11.199999999999976,0.062211160776817764,0.0
Uncontrolled,11.299999999999976,0.0518773513229648,0.0
Uncontrolled,11.399999999999975,0.041777292319872525,0.0
Uncontrolled,11.499999999999975,0.03229322666032894,0.0
Uncontrolled,11.599999999999975,0.02260109662287084,0.0
Uncontrolled,11.699999999999974,0.01303758925022124,0.0
Uncontrolled,11.799999999999974,0.003590369124040805,0.0
Uncontrolled,11.899999999999974,-0.006042889592310568,0.0
Uncontrolled,11.999999999999973,-0.01586906553595762,0.0
Uncontrolled,12.099999999999973,-0.025763592155590286,0.0
Uncontrolled,12.199999999999973,-0.03546126794228142,0.0
Uncontrolled,12.299999999999972,-0.04565219371705662,0.0
Uncontrolled,12.399999999999972,-0.05428705392114127,0.0
Uncontrolled,12.499999999999972,-0.06228957497587012,0.0
Uncontrolled,12.599999999999971,-0.06971686728354759,0.0
Uncontrolled,12.69999999999997,-0.07626250335953175,0.0
Uncontrolled,12.79999999999997,-0.08230797794402052,0.0
Uncontrolled,12.89999999999997,-0.08751573464308081,0.0
Uncontrolled,12.99999999999997,-0.09188824176996842,0.0
Uncontrolled,13.09999999999997,-0.09530160729447443,0.0
Uncontrolled,13.199999999999969,-0.099252421624752,0.0
Uncontrolled,13.299999999999969,-0.10206730745026293,0.0
Uncontrolled,13.399999999999968,-0.10421229642247369,0.0
Uncontrolled,13.499999999999968,-0.10546018649309918,0.0
Uncontrolled,13.599999999999968,-0.1059123645428719,0.0
Uncontrolled,13.699999999999967,-0.10568991740203626,0.0
Uncontrolled,13.799999999999967,-0.10423629527361002,0.0
Uncontrolled,13.899999999999967,-0.10249090477254033,0.0
Uncontrolled,13.999999999999966,-0.10003067441267365,0.0
Uncontrolled,14.099999999999966,-0.0972857910162876,0.0
Uncontrolled,14.199999999999966,-0.0941400632600735,0.0
Uncontrolled,14.299999999999965,-0.08941733166728826,0.0
Uncontrolled,14.399999999999965,-0.08350619018514835,0.0
Uncontrolled,14.499999999999964,-0.07720743487585188,0.0
Uncontrolled,14.599999999999964,-0.07026407366152365,0.0
Uncontrolled,14.699999999999964,-0.063287808773624,0.0
Uncontrolled,14.799999999999963,-0.05715252933148294,0.0
Uncontrolled,14.899999999999963,-0.05064998116455949,0.0
